,smart_12_raw,smart_192_raw,smart_194_raw,smart_241_raw,smart_242_raw,0.5*smart_12_raw - 0.99*smart_242_raw,-1.04*smart_192_raw + 0.67*smart_241_raw,target
666,5,2.0,35.0,6630,9.0,-6.41,4440.02,0
667,5,2.0,35.0,6630,9.0,-6.41,4440.02,0
668,10,6.0,35.0,7021,21.0,-15.79,4697.830000000001,0
669,10,6.0,35.0,7156,36.0,-30.64,4788.280000000001,0
670,10,6.0,36.0,7244,63.0,-57.37,4847.240000000001,0
671,10,6.0,36.0,7441,140.0,-133.6,4979.2300000000005,0
672,10,6.0,36.0,7543,178.0,-171.22,5047.570000000001,0
673,10,6.0,35.0,7739,252.0,-244.48,5178.89,0
674,10,6.0,36.0,7840,291.0,-283.09,5246.56,0
675,10,6.0,37.0,8039,368.0,-359.32,5379.89,0
676,10,6.0,35.0,8238,444.0,-434.56,5513.22,0
677,10,6.0,36.0,8338,480.0,-470.2,5580.22,0
678,10,6.0,35.0,8536,557.0,-546.43,5712.88,0
679,10,6.0,39.0,8637,598.0,-587.02,5780.55,0
680,10,6.0,37.0,8837,682.0,-670.18,5914.55,0
681,10,6.0,38.0,8939,726.0,-713.74,5982.89,0
682,10,6.0,36.0,9140,809.0,-795.91,6117.56,0
683,10,6.0,36.0,9194,844.0,-830.56,6153.740000000001,0
684,10,6.0,36.0,9232,883.0,-869.17,6179.200000000001,0
685,10,6.0,39.0,9362,961.0,-946.39,6266.3,0
686,10,6.0,39.0,9464,1012.0,-996.88,6334.64,0
687,10,6.0,38.0,9664,1094.0,-1078.06,6468.64,0
688,10,6.0,36.0,9770,1176.0,-1159.24,6539.660000000001,0
689,10,6.0,36.0,9877,1222.0,-1204.78,6611.35,0
690,10,6.0,36.0,10087,1307.0,-1288.93,6752.05,0
691,10,6.0,36.0,10139,1352.0,-1333.48,6786.89,0
692,10,6.0,36.0,10225,1433.0,-1413.67,6844.51,0
693,10,6.0,36.0,10316,1474.0,-1454.26,6905.4800000000005,0
694,10,6.0,36.0,10543,1563.0,-1542.37,7057.570000000001,0
695,10,6.0,36.0,10615,1610.0,-1588.9,7105.81,0
696,10,6.0,37.0,10689,1693.0,-1671.07,7155.39,0
697,10,6.0,36.0,10726,1732.0,-1709.68,7180.18,0
698,10,6.0,37.0,10863,1813.0,-1789.87,7271.97,0
699,10,6.0,39.0,10902,1852.0,-1828.48,7298.1,0
700,10,6.0,37.0,11008,1933.0,-1908.67,7369.120000000001,0
701,10,6.0,37.0,11118,1986.0,-1961.1399999999999,7442.820000000001,0
702,10,6.0,37.0,11282,2065.0,-2039.35,7552.700000000001,0
703,10,6.0,37.0,11319,2106.0,-2079.94,7577.490000000001,0
704,10,6.0,38.0,11417,2183.0,-2156.17,7643.150000000001,0
705,10,6.0,37.0,11507,2228.0,-2200.72,7703.450000000001,0
706,10,6.0,38.0,11617,2309.0,-2280.91,7777.150000000001,0
707,10,6.0,37.0,11654,2350.0,-2321.5,7801.9400000000005,0
708,10,6.0,37.0,11727,2431.0,-2401.69,7850.85,0
709,10,6.0,37.0,11763,2475.0,-2445.25,7874.97,0
710,10,6.0,38.0,11960,2576.0,-2545.24,8006.960000000001,0
711,10,6.0,37.0,12056,2657.0,-2625.43,8071.280000000001,0
712,10,6.0,38.0,12093,2693.0,-2661.07,8096.070000000001,0
713,10,6.0,35.0,12170,2777.0,-2744.23,8147.660000000001,0
714,10,6.0,38.0,12206,2819.0,-2785.81,8171.780000000001,0
715,10,6.0,39.0,12282,2905.0,-2870.95,8222.7,0
716,10,6.0,38.0,12364,2953.0,-2918.47,8277.640000000001,0
717,10,6.0,34.0,12586,3053.0,-3017.47,8426.380000000001,0
718,10,6.0,37.0,12691,3098.0,-3062.02,8496.730000000001,0
719,10,6.0,35.0,12765,3181.0,-3144.19,8546.310000000001,0
720,10,6.0,37.0,12801,3224.0,-3186.7599999999998,8570.43,0
